location_id,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_or_more
11,40,44,23,36,73,114,212,266,287,363,402,471,441,429,400,290,453
12,7,3,2,12,23,42,78,90,126,131,129,124,147,140,137,94,161
13,489,280,197,294,444,628,843,1104,1259,1361,1381,1583,1753,1844,1563,1283,1971
14,10,6,3,10,12,32,42,54,68,97,87,113,109,127,102,86,135
15,354,190,144,212,388,538,812,1173,1179,1355,1428,1610,1708,1895,1787,1647,2476
16,146,77,45,35,68,78,103,140,173,149,183,207,189,196,177,138,186
17,53,41,25,24,57,72,138,167,231,233,270,286,291,298,292,276,465
21,45,33,22,48,74,163,235,296,377,324,367,501,588,625,630,600,1052
22,92,60,42,74,143,265,417,544,630,637,697,791,913,920,978,806,1605
23,244,130,104,196,364,539,851,1072,1201,1353,1705,2047,2192,2379,2594,2436,4614
24,66,38,32,38,79,119,226,365,378,411,544,618,655,607,707,600,1194
25,119,70,56,106,212,264,379,527,581,619,795,868,930,968,1060,959,1964
26,415,196,127,160,316,546,831,1087,1274,1366,1662,1874,1939,2047,2031,1852,3283
27,84,48,28,41,83,114,212,305,400,482,544,582,723,728,665,582,920
28,266,150,74,79,117,141,196,297,370,383,479,523,590,580,622,537,955
29,244,166,113,137,227,425,792,1220,1459,1575,1781,2058,2314,2500,2288,2111,4058
31,249,149,80,142,428,795,1372,2103,2660,2969,3763,4678,5075,5405,5049,4327,8282
32,46,26,14,33,68,100,206,283,354,403,487,600,676,744,718,600,1200
33,474,286,212,258,592,1045,1844,2924,3829,4446,5136,6435,7227,7897,7449,6077,11968
35,1112,685,526,720,2142,4133,7268,11363,13685,15005,17509,19305,20431,20219,17955,14520,25064
41,159,96,75,116,354,794,1264,1800,2166,2673,3040,3721,3761,3762,3236,2728,4102
42,97,56,44,64,184,449,713,1161,1440,1561,1952,2278,2415,2450,2202,1680,2681
43,151,79,40,123,287,633,1068,1648,1978,2348,2784,3396,3771,3967,3772,3061,5170
50,58,27,19,36,104,249,449,635,725,872,948,1151,1126,1055,969,643,1136
51,84,42,36,85,149,274,444,641,675,708,861,891,854,819,710,602,798
52,68,70,32,58,218,400,677,1052,1343,1490,1707,1968,2167,2181,2043,1698,2847
53,158,81,61,84,237,405,723,1106,1370,1477,1748,1824,1789,1757,1603,1335,2215
1100205,37,33,18,25,46,92,150,188,187,236,231,295,295,270,246,177,246
1200401,6,3,1,6,18,34,64,73,101,107,111,101,125,110,108,69,116
1302603,279,168,122,117,205,327,503,752,882,971,1031,1231,1354,1373,1172,902,1260
1400100,10,6,3,10,12,32,42,54,68,97,87,113,109,127,102,86,135
1501402,113,71,57,60,114,140,224,320,352,439,489,571,653,756,694,610,986
1600303,94,56,28,10,33,44,62,106,135,115,130,162,159,150,138,109,149
1721000,4,4,3,5,17,22,54,66,67,75,90,103,92,87,80,75,103
2111300,30,22,11,25,45,100,143,168,211,174,186,254,294,279,269,248,456
2211001,73,48,38,56,124,225,343,474,530,541,582,658,740,753,783,630,1225
2304400,154,85,75,129,225,313,490,663,752,836,1070,1311,1391,1471,1543,1355,2326
2408102,63,37,30,28,58,79,170,268,243,291,364,423,449,427,462,395,735
2507507,62,42,34,72,154,164,198,292,281,272,358,416,424,433,441,359,817
2611606,334,145,91,109,216,398,560,728,818,857,1006,1190,1271,1261,1198,1048,1846
2704302,55,29,20,26,58,75,135,193,273,315,342,376,496,482,417,366,560
2800308,226,126,59,55,88,97,135,212,256,263,324,339,392,384,375,322,550
2927408,165,106,82,73,126,260,456,693,814,855,1015,1149,1279,1317,1181,1091,2078
3106200,76,42,27,34,105,206,354,492,726,876,1044,1358,1457,1534,1433,1150,2310
3205309,16,13,6,7,8,14,37,49,78,78,99,103,111,123,142,91,234
3304557,303,174,142,157,313,608,1003,1605,2131,2484,2900,3656,4247,4823,4559,3772,7869
3550308,510,287,240,348,980,1860,3222,4964,5821,6267,7077,7742,8231,8194,7424,6034,10667
4106902,83,45,33,47,147,312,480,720,918,1046,1263,1494,1476,1434,1196,986,1600
4205407,30,16,8,7,16,37,53,88,116,120,162,220,227,240,219,167,293
4314902,53,26,14,33,74,174,283,501,548,668,746,927,1046,1187,1045,896,1486
5002704,28,17,8,23,58,129,221,331,357,453,514,599,624,599,561,356,622
5103403,47,26,21,33,59,113,209,275,309,322,408,405,413,397,365,271,390
5208707,56,51,21,32,102,187,293,473,579,673,756,913,1007,1024,934,735,1230
5300108,158,81,61,84,237,405,723,1106,1370,1477,1748,1824,1789,1757,1603,1335,2215
